id,section_id,stem,choices,answer_key,difficulty
d0e5f69c-9236-467f-98ea-3f9fd23982e7,ad55313c-ddcf-4683-a526-1dbef65eab3e,Project Management: Which option best applies in scenario #3?,"[{""id"": ""A"", ""text"": ""Best practice aligned with Project Management.""}, {""id"": ""B"", ""text"": ""Partially aligned with Project Management.""}, {""id"": ""C"", ""text"": ""Unrelated to Project Management.""}, {""id"": ""D"", ""text"": ""Risky approach for Project Management.""}]",A,medium
e59b1b00-fe76-4c33-91e1-946838a7d380,ad55313c-ddcf-4683-a526-1dbef65eab3e,Project Management: Which option best applies in scenario #4?,"[{""id"": ""A"", ""text"": ""Best practice aligned with Project Management.""}, {""id"": ""B"", ""text"": ""Partially aligned with Project Management.""}, {""id"": ""C"", ""text"": ""Unrelated to Project Management.""}, {""id"": ""D"", ""text"": ""Risky approach for Project Management.""}]",A,medium
892ce553-cd4a-40c5-86ac-b2e95bdde2b7,6870e1ca-9515-4229-811d-85c288eff8e4,Data Analysis: Which option best applies in scenario #1?,"[{""id"": ""A"", ""text"": ""Best practice aligned with Data Analysis.""}, {""id"": ""B"", ""text"": ""Partially aligned with Data Analysis.""}, {""id"": ""C"", ""text"": ""Unrelated to Data Analysis.""}, {""id"": ""D"", ""text"": ""Risky approach for Data Analysis.""}]",A,medium
670cc0ad-3fb8-4270-8f78-c16370b45e64,6870e1ca-9515-4229-811d-85c288eff8e4,Data Analysis: Which option best applies in scenario #2?,"[{""id"": ""A"", ""text"": ""Best practice aligned with Data Analysis.""}, {""id"": ""B"", ""text"": ""Partially aligned with Data Analysis.""}, {""id"": ""C"", ""text"": ""Unrelated to Data Analysis.""}, {""id"": ""D"", ""text"": ""Risky approach for Data Analysis.""}]",A,medium
e0491603-8567-43cf-94e1-665bc6833cc3,6870e1ca-9515-4229-811d-85c288eff8e4,Data Analysis: Which option best applies in scenario #3?,"[{""id"": ""A"", ""text"": ""Best practice aligned with Data Analysis.""}, {""id"": ""B"", ""text"": ""Partially aligned with Data Analysis.""}, {""id"": ""C"", ""text"": ""Unrelated to Data Analysis.""}, {""id"": ""D"", ""text"": ""Risky approach for Data Analysis.""}]",A,medium
99ee43ab-eb46-43f9-9f95-eef94668b77e,6870e1ca-9515-4229-811d-85c288eff8e4,Data Analysis: Which option best applies in scenario #4?,"[{""id"": ""A"", ""text"": ""Best practice aligned with Data Analysis.""}, {""id"": ""B"", ""text"": ""Partially aligned with Data Analysis.""}, {""id"": ""C"", ""text"": ""Unrelated to Data Analysis.""}, {""id"": ""D"", ""text"": ""Risky approach for Data Analysis.""}]",A,medium
7bd6b6d8-9608-4891-a49e-fa3cf9a026a4,ce0857f8-ef67-49bf-957f-cea647dd40bd,Process Improvement: Which option best applies in scenario #1?,"[{""id"": ""A"", ""text"": ""Best practice aligned with Process Improvement.""}, {""id"": ""B"", ""text"": ""Partially aligned with Process Improvement.""}, {""id"": ""C"", ""text"": ""Unrelated to Process Improvement.""}, {""id"": ""D"", ""text"": ""Risky approach for Process Improvement.""}]",A,medium
0592a135-2588-455d-96e1-1e74690241d1,ce0857f8-ef67-49bf-957f-cea647dd40bd,Process Improvement: Which option best applies in scenario #2?,"[{""id"": ""A"", ""text"": ""Best practice aligned with Process Improvement.""}, {""id"": ""B"", ""text"": ""Partially aligned with Process Improvement.""}, {""id"": ""C"", ""text"": ""Unrelated to Process Improvement.""}, {""id"": ""D"", ""text"": ""Risky approach for Process Improvement.""}]",A,medium
426e7639-cca6-446a-951a-977ce84d1113,ce0857f8-ef67-49bf-957f-cea647dd40bd,Process Improvement: Which option best applies in scenario #3?,"[{""id"": ""A"", ""text"": ""Best practice aligned with Process Improvement.""}, {""id"": ""B"", ""text"": ""Partially aligned with Process Improvement.""}, {""id"": ""C"", ""text"": ""Unrelated to Process Improvement.""}, {""id"": ""D"", ""text"": ""Risky approach for Process Improvement.""}]",A,medium
181e2133-de79-46af-aeec-e5f491013458,ce0857f8-ef67-49bf-957f-cea647dd40bd,Process Improvement: Which option best applies in scenario #4?,"[{""id"": ""A"", ""text"": ""Best practice aligned with Process Improvement.""}, {""id"": ""B"", ""text"": ""Partially aligned with Process Improvement.""}, {""id"": ""C"", ""text"": ""Unrelated to Process Improvement.""}, {""id"": ""D"", ""text"": ""Risky approach for Process Improvement.""}]",A,medium
